rst:0x15 (USB_UART_CHIP_RESET),boot:0xc (SPI_FAST_FLASH_BOOT)
0.00,-231.75,961.90
26.98,-276.19,958.73
79.36,-298.41,934.92
149.21,-274.60,893.65
201.59,-225.40,887.30
233.33,-180.95,915.87
301.59,-131.75,969.84
303.17,101.59,963.49
301.59,-25.40,1022.22
301.59,1.59,1044.44
253.97,28.57,1042.86
249.21,-26.98,1017.46
130.16,-131.75,1069.84
69.84,-130.16,1071.43
-22.22,-152.38,987.30
-95.24,-230.16,998.41
-126.98,-230.16,971.43
-130.16,-326.98,961.90
-144.44,-309.52,947.62
-126.98,-350.79,946.03
-120.64,-333.33,920.64
-52.38,-303.17,912.70
4.76,-307.94,895.24
71.43,-295.24,873.02
49.21,-276.19,919.05
234.92,-247.62,941.27
-,-,-
228.57,-330.16,1653.97
-50.79,-206.35,1020.64
-55.56,-247.62,1023.81
-17.46,-273.02,934.92
53.97,-276.19,869.84
133.33,-258.73,820.64
231.75,-219.05,861.90
284.13,-147.62,887.30
301.59,-79.36,963.49
300.00,-52.38,992.06
280.95,1.59,1065.08
260.32,-1.59,1403.17
223.81,-3.17,1092.06
149.21,-120.64,1074.60
79.36,-153.97,1088.89
3.17,-223.81,1022.22
-53.97,-274.60,1061.90
-106.35,-253.97,993.65
-104.76,-323.81,963.49
-98.41,-352.38,919.05
-106.35,-307.94,898.41
-50.79,-350.79,869.84
23.81,-274.60,841.27
79.36,-249.21,869.84
173.02,-247.62,895.24
252.38,-220.64,966.67
282.54,-173.02,1019.05
-,-,-
233.33,-404.76,1607.94
-23.81,-257.14,966.67
25.40,-300.00,907.94
76.19,-349.21,892.06
126.98,-307.94,885.71
204.76,-231.75,890.48
236.51,-177.78,946.03
311.11,-119.05,984.13
326.98,-17.46,1042.86
330.16,0.00,1092.06
312.70,-22.22,1041.27
226.98,-74.60,963.49
174.60,-198.41,1023.81
-15.87,-180.95,993.65
-26.98,-247.62,1023.81
-130.16,-277.78,1087.30
-150.79,-306.35,1049.21
-147.62,-352.38,1014.29
-144.44,-330.16,919.05
-77.78,-304.76,868.25
-44.44,-328.57,896.83
30.16,-274.60,860.32
109.52,-253.97,868.25
200.00,-250.79,892.06
223.81,-246.03,938.10
255.56,-130.16,958.73
-,-,-
-,-,-
-,-,-
55.56,-357.14,1603.17
-20.64,-228.57,965.08
6.35,-277.78,966.67
49.21,-301.59,892.06
104.76,-303.17,863.49
185.71,-249.21,868.25
233.33,-201.59,942.86
304.76,-119.05,966.67
311.11,-57.14,1014.29
336.51,-4.76,1025.40
274.60,20.64,1039.68
250.79,-22.22,1068.25
131.75,-80.95,1049.21
57.14,-125.40,1069.84
-95.24,-171.43,1047.62
-177.78,-258.73,1090.48
-203.17,-306.35,1090.48
-182.54,-398.41,1020.64
-155.56,-384.13,942.86
-95.24,-333.33,844.44
-30.16,-326.98,839.68
50.79,-253.97,820.64
153.97,-228.57,842.86
249.21,-250.79,866.67
284.13,-222.22,941.27
284.13,-130.16,968.25
301.59,-79.36,1020.64
-,-,-
125.40,-528.57,1623.81
-98.41,-203.17,969.84
-100.00,-255.56,934.92
-50.79,-307.94,988.89
-1.59,-326.98,946.03
77.78,-328.57,895.24
149.21,-255.56,887.30
203.17,-203.17,887.30
282.54,-126.98,939.68
301.59,-73.02,996.83
336.51,-69.84,1015.87
252.38,-3.17,1066.67
203.17,-31.75,1096.83
133.33,-74.60,1041.27
103.17,-153.97,1039.68
-3.17,-176.19,1017.46
-79.36,-180.95,995.24
-123.81,-233.33,1015.87
-176.19,-246.03,971.43
-153.97,-301.59,1042.86
-174.60,-323.81,942.86
-119.05,-328.57,896.83
-77.78,-331.75,890.48
23.81,-279.36,834.92
171.43,-225.40,871.43
250.79,-150.79,995.24
-,-,-
-,-,-
225.40,-352.38,1557.14
-44.44,-249.21,985.71
-23.81,-271.43,922.22
7.94,-301.59,912.70
53.97,-285.71,865.08
126.98,-250.79,868.25
200.00,-222.22,947.62
277.78,-128.57,961.90
285.71,-96.83,1023.81
312.70,-46.03,1038.10
326.98,6.35,1090.48
231.75,-23.81,1044.44
201.59,-76.19,1022.22
73.02,-130.16,1015.87
7.94,-153.97,1046.03
-93.65,-122.22,1023.81
-144.44,-179.36,1017.46
-125.40,-203.17,993.65
-155.56,-255.56,998.41
-126.98,-296.83,912.70
-93.65,-304.76,915.87
-52.38,-304.76,888.89
26.98,-311.11,863.49
100.00,-303.17,871.43
180.95,-279.36,920.64
273.02,-157.14,939.68
-,-,-
122.22,-461.90,1596.83
-1.59,-220.64,969.84
20.64,-222.22,919.05
31.75,-282.54,939.68
98.41,-298.41,917.46
149.21,-222.22,860.32
204.76,-200.00,895.24
258.73,-171.43,1012.70
307.94,-23.81,990.48
252.38,-30.16,1066.67
284.13,7.94,1085.71
260.32,-42.86,1087.30
231.75,-123.81,1068.25
149.21,-169.84,1061.90
79.36,-173.02,1023.81
-47.62,-231.75,1047.62
-74.60,-233.33,1041.27
-92.06,-304.76,992.06
-69.84,-325.40,947.62
-20.64,-349.21,871.43
22.22,-360.32,890.48
82.54,-282.54,809.52
107.94,-258.73,815.87
257.14,-225.40,887.30
330.16,-153.97,965.08
-,-,-
147.62,-380.95,1517.46
-4.76,-249.21,963.49
34.92,-295.24,914.29
77.78,-322.22,914.29
130.16,-228.57,896.83
230.16,-182.54,936.51
277.78,-98.41,969.84
301.59,0.00,1017.46
307.94,-20.64,1041.27
276.19,-3.17,1046.03
255.56,-44.44,1049.21
160.32,-104.76,1041.27
73.02,-155.56,1042.86
-17.46,-171.43,1041.27
-100.00,-230.16,1039.68
-95.24,-271.43,1000.00
-107.94,-304.76,993.65
